symbole,date,heure,close
ACA.PA,2025-09-02,14:08,[15.40499973]
ACA.PA,2025-09-02,14:09,[15.40999985]
ACA.PA,2025-09-02,14:18,[15.39999962]
AI.PA,2025-09-02,14:08,[175.33999634]
AI.PA,2025-09-02,14:09,[175.3999939]
AI.PA,2025-09-02,14:18,[175.58000183]
ALNOV.PA,2025-09-02,14:08,[0.45249999]
ALNOV.PA,2025-09-02,14:09,[0.45249999]
ALNOV.PA,2025-09-02,14:18,[0.45249999]
ALTHX.PA,2025-09-02,14:08,[2.54999995]
ALTHX.PA,2025-09-02,14:09,[2.54999995]
ALTHX.PA,2025-09-02,14:18,[2.5999999]
AUDUSD=X,2025-09-02,14:08,[0.65138096]
AUDUSD=X,2025-09-02,14:09,[0.65108407]
AUDUSD=X,2025-09-02,14:18,[0.65053344]
CC=F,2025-09-02,14:08,[7532.]
CC=F,2025-09-02,14:09,[7525.]
CC=F,2025-09-02,14:18,[7523.]
CL=F,2025-09-02,14:08,[65.73999786]
CL=F,2025-09-02,14:09,[65.73999786]
CL=F,2025-09-02,14:18,[65.80999756]
COFA.PA,2025-09-02,14:08,[15.59000015]
COFA.PA,2025-09-02,14:09,[15.60999966]
COFA.PA,2025-09-02,14:18,[15.59000015]
EURGBP=X,2025-09-02,14:08,[0.87007999]
EURGBP=X,2025-09-02,14:09,[0.87019002]
EURGBP=X,2025-09-02,14:18,[0.87058002]
EURUSD=X,2025-09-02,14:08,[1.16550124]
EURUSD=X,2025-09-02,14:09,[1.16522956]
EURUSD=X,2025-09-02,14:18,[1.16400886]
GBPUSD=X,2025-09-02,14:08,[1.33911836]
GBPUSD=X,2025-09-02,14:09,[1.33892119]
GBPUSD=X,2025-09-02,14:18,[1.33671975]
GC=F,2025-09-02,14:08,[3557.69995117]
GC=F,2025-09-02,14:09,[3558.10009766]
GC=F,2025-09-02,14:18,[3559.80004883]
ODET.PA,2025-09-02,14:08,[1428.]
ODET.PA,2025-09-02,14:09,[1424.]
ODET.PA,2025-09-02,14:18,[1432.]
PUST.PA,2025-09-02,14:08,[79.87999725]
PUST.PA,2025-09-02,14:09,[79.87999725]
PUST.PA,2025-09-02,14:18,[79.73000336]
SI=F,2025-09-02,14:08,[41.59000015]
SI=F,2025-09-02,14:09,[41.59500122]
SI=F,2025-09-02,14:18,[41.58499908]
USDCAD=X,2025-09-02,14:08,[1.37851]
USDCAD=X,2025-09-02,14:09,[1.37820005]
USDCAD=X,2025-09-02,14:18,[1.3793]
USDCHF=X,2025-09-02,14:08,[0.80396998]
USDCHF=X,2025-09-02,14:09,[0.80414999]
USDCHF=X,2025-09-02,14:18,[0.80473]
USDCNY=X,2025-09-02,14:08,[7.14330006]
USDCNY=X,2025-09-02,14:09,[7.14330006]
USDCNY=X,2025-09-02,14:18,[7.14340019]
USDJPY=X,2025-09-02,14:08,[148.57400513]
USDJPY=X,2025-09-02,14:09,[148.6000061]
USDJPY=X,2025-09-02,14:18,[148.80499268]
WAVE.PA,2025-09-02,14:08,[47.54999924]
WAVE.PA,2025-09-02,14:09,[47.54999924]
WAVE.PA,2025-09-02,14:18,[47.54999924]
^DJI,2025-09-02,14:08,[45544.87890625]
^DJI,2025-09-02,14:09,[45544.87890625]
^DJI,2025-09-02,14:18,[45544.87890625]
^FCHI,2025-09-02,14:08,[7682.72998047]
^FCHI,2025-09-02,14:09,[7685.54003906]
^FCHI,2025-09-02,14:18,[7683.31005859]
^GDAXI,2025-09-02,14:08,[23670.33984375]
^GDAXI,2025-09-02,14:09,[23671.390625]
^GDAXI,2025-09-02,14:18,[23670.74023438]
^GSPC,2025-09-02,14:08,[6460.25976562]
^GSPC,2025-09-02,14:09,[6460.25976562]
^GSPC,2025-09-02,14:18,[6460.25976562]
^IBEX,2025-09-02,14:08,[14722.09960938]
^IBEX,2025-09-02,14:09,[14723.70019531]
^IBEX,2025-09-02,14:18,[14721.40039062]
^IXIC,2025-09-02,14:08,[21455.55078125]
^IXIC,2025-09-02,14:09,[21455.55078125]
^IXIC,2025-09-02,14:18,[21455.55078125]
